x	x	0	0	0	0
x	x	0	0	0	0
Sensor	Coverage	1.59	74.0443	0	0
without	Metric	1.59	93.9693	0	0
Rattanachai	Ramaithitima,	1.1	128.92	0	0
x	x	0	0	0	0
Abstract	We	0.9	175.42	0	0
I.	INTRODUCTION	1.0	343.871	0	0
x	x	0	0	0	0
*University	of	0.84	699.224	0	0
The	authors	0.8	708.19	0	0
cal	communication-based	1.0	174.834	0	0
2015	IEEE	0.8	27.776	0	0
978-1-4799-6922-7/15/$31.00	2015	0.8	749.776	0	0
simply-connected,	as	1.0	55.2823	0	0
B.	Problem	1.0	273.17	0	0
II.	PRELIMINARIES	1.0	657.714	0	0
2	the	0.99	675.251	0	0
1	,	0.9	728.181	0	0
2	,	0.92	728.181	0	0
n	],	0.9	728.181	0	0
i	W	0.9	728.181	0	0
$$$	Hole	0.29	54.3779	0	0
Fig.	1.	0.8	122.875	1	FIGURE
A	robot,	1.0	155.214	0	0
i	,	0.96	158.624	0	0
i	=	0.94	170.579	0	0
i	x	0.85	170.579	0	0
j	r	0.85	170.579	0	0
v	}	0.97	170.579	0	0
i	j	0.95	177.424	0	0
i	k	0.9	189.603	0	0
i	jk	0.85	201.559	0	0
i	k	0.95	201.559	0	0
B.	VietorisRips	1.0	250.296	0	0
We	do	1.0	267.094	0	0
1	2	0.48	380.534	0	0
(a)	Robots	0.8	418.683	0	0
1	2	0.48	381.305	0	0
(b)	Robots	0.93	418.683	0	0
v	from	0.99	565.279	0	0
1	homology.	0.85	637.01	0	0
1	2	0.4	674.354	0	0
3	4	0.4	691.206	0	0
$$$	5	0.4	665.62	0	0
$$$	9	0.4	697.696	0	0
$$$	6	0.4	663.75	0	0
$$$	7	0.4	681.306	0	0
$$$	8	0.4	702.602	0	0
1	2	0.46	669.187	0	0
$$$	3	0.46	693.006	0	0
$$$	4	0.46	710.28	0	0
5	6	0.46	657.15	0	0
$$$	7	0.46	673.551	0	0
8	9	0.46	693.032	0	0
Fig.	3.	0.78	729.564	1	FIGURE
This	simplicial	1.0	55.2823	0	0
v	.	0.98	142.378	0	0
rv	(X).	0.96	166.288	0	0
rv	(X)	0.99	178.244	0	0
rv	(X)	0.98	214.109	0	0
0	C	0.85	232.677	0	0
2	2	0.8	239.819	0	0
1	1	0.8	239.819	0	0
0	0	0.88	239.819	0	0
d	is	0.99	251.774	0	0
rv	to	0.98	287.639	0	0
rv	,	0.99	311.55	0	0
rv	can	0.99	347.112	0	0
2	(R	0.85	430.799	0	0
rv	,	0.97	430.799	0	0
rv	in	0.99	442.754	0	0
T	counts	0.98	560.689	0	0
$$$	N	0.7	586.54	0	0
T	when	0.93	588.925	0	0
x	x	0	0	0	0
Fig.	4.	0.87	671.98	1	FIGURE
a	gradient	1.0	55.2824	0	0
i	=	0.9	137.268	0	0
$$$	jL	0.7	143.872	0	0
i	(	0.75	143.263	0	0
i	j,des	0.83	137.268	0	0
i	is	0.98	149.843	0	0
i	j,des	0.99	161.798	0	0
E.	Relative	1.0	286.232	0	0
2	Homology	0.97	289.552	0	0
rv	,	0.99	312.995	0	0
rv	,	0.98	372.771	0	0
rv	,	0.99	396.681	0	0
2	(R	0.85	468.412	0	0
rv	,	0.99	468.412	0	0
$$$	8	0.62	585.797	0	0
12	10	0.62	548.129	0	0
$$$	11	0.62	571.691	0	0
$$$	6	0.62	542.308	0	0
7	3	0.62	564.484	0	0
$$$	2	0.62	522.811	0	0
$$$	1	0.62	555.86	0	0
9	5	0.62	531.528	0	0
$$$	13	0.62	563.067	0	0
(a)	A	0.8	607.348	0	0
v	,	0.78	611.287	0	0
$$$	Q	0.62	594.113	0	0
$$$	8	0.62	549.761	0	0
$$$	12	0.62	530.481	0	0
$$$	10	0.62	511.231	0	0
$$$	11	0.62	542.554	0	0
6	7	0.62	527.493	0	0
$$$	2	0.62	515.758	0	0
$$$	1	0.62	534.423	0	0
9	5	0.62	517.606	0	0
$$$	13	0.62	538.15	0	0
(b)	Topology	0.8	607.348	0	0
III.	ALGORITHM	1.0	677.419	0	0
$$$	3410	0.8	749.776	0	0
we	start	1.0	55.2823	0	0
